,W##other##,A##area##inches,d##length##inches,b##length##inches,t##length##inches,k##length##inches,x##length##inches,y##length##inches
L3X2-1/2X1/4,4.50,1.31,3.00,2.50,0.25,0.625,0.653,0.900
L3X2-1/2X3/16,3.39,0.996,3.00,2.50,0.1875,0.5625,0.627,0.874
L3X2X1/2,7.70,2.25,3.00,2.00,0.5,0.8125,0.580,1.08
L3X2X3/8,5.90,1.73,3.00,2.00,0.375,0.6875,0.535,1.03
L3X2X5/16,5.00,1.46,3.00,2.00,0.3125,0.625,0.511,1.01
L3X2X1/4,4.10,1.19,3.00,2.00,0.25,0.5625,0.487,0.980
L3X2X3/16,3.07,0.902,3.00,2.00,0.1875,0.5,0.462,0.952
L2-1/2X2-1/2X1/2,7.70,2.25,2.50,2.50,0.5,0.75,0.803,0.803
L2-1/2X2-1/2X3/8,5.90,1.73,2.50,2.50,0.375,0.625,0.758,0.758
L2-1/2X2-1/2X5/16,5.00,1.46,2.50,2.50,0.3125,0.5625,0.735,0.735
L2-1/2X2-1/2X1/4,4.10,1.19,2.50,2.50,0.25,0.5,0.711,0.711
L2-1/2X2-1/2X3/16,3.07,0.900,2.50,2.50,0.1875,0.4375,0.687,0.687
L2-1/2X2X3/8,5.30,1.55,2.50,2.00,0.375,0.625,0.578,0.826
L2-1/2X2X5/16,4.50,1.31,2.50,2.00,0.3125,0.5625,0.555,0.803
L2-1/2X2X1/4,3.62,1.06,2.50,2.00,0.25,0.5,0.532,0.779
L2-1/2X2X3/16,2.75,0.809,2.50,2.00,0.1875,0.4375,0.508,0.754
L2-1/2X1-1/2X1/4,3.22,0.938,2.50,1.50,0.25,0.5,0.372,0.866
L2-1/2X1-1/2X3/16,2.47,0.715,2.50,1.50,0.1875,0.4375,0.347,0.839
L2X2X3/8,4.70,1.36,2.00,2.00,0.375,0.625,0.632,0.632
L2X2X5/16,3.92,1.15,2.00,2.00,0.3125,0.5625,0.609,0.609
L2X2X1/4,3.19,0.938,2.00,2.00,0.25,0.5,0.586,0.586
L2X2X3/16,2.44,0.715,2.00,2.00,0.1875,0.4375,0.561,0.561
L2X2X1/8,1.65,0.484,2.00,2.00,0.125,0.375,0.534,0.534
